year,months,visitor_volume,convention_attendance,room_inventory,midweek_occupancy_percentage,weekend_occupancy_percentage,overall_occupancy_percentage,lvcva_room_tax_collections,en_deplaned_air_passenger,clark_county_gaming_revenue
1970,12,6787650,269129,25430,,,0.68,3751265,4086973,369286977
1971,12,7361783,312347,26044,,,0.7829999999999999,4241630,4102285,399410972
1972,12,7954748,290794,26619,,,0.812,4770716,4608764,476126720
1973,12,8474727,357248,29198,,,0.8440000000000001,5556312,5397017,588221779
1974,12,8664751,311908,32826,,,0.787,6559315,5944433,684714502
1975,12,9151427,349787,35190,,,0.795,7616661,6500806,770336695
1976,12,9769354,367322,36245,,,0.82,8890463,7685817,845975652
1977,12,10137021,417090,39350,,,0.8079999999999999,10383259,7964687,1015463342
1978,12,11178111,607318,42620,,,0.82,13113511,9110842,1236235456
1979,12,11696073,637862,45035,,,0.809,15847040,10574127,1423620102
1980,12,11941524,656024,45815,,,0.772,18231548,10302106,1617194799
1981,12,11820788,719988,49614,,,0.757,18179761,9469727,1676148606
1982,12,11633728,809779,50270,,,0.703,19070664,9438648,1751421394
1983,12,12348270,943611,52529,0.6709999999999999,0.8690000000000001,0.726,21731353,10312842,1887451717
1984,12,12843433,1050916,54129,0.664,0.883,0.725,23921313,10141809,2008155460
1985,12,14194189,1072629,53067,0.747,0.93,0.7979999999999999,26956881,10924047,2256762736
1986,12,15196284,1519421,56494,0.768,0.935,0.8140000000000001,30587141,12428748,2431237168
1987,12,16216102,1677716,58474,0.792,0.945,0.8340000000000001,34443765,15582302,2789336000
1988,12,17199808,1702158,61394,0.8140000000000001,0.935,0.851,38175535,16231199,3136901000
1989,12,18129684,1508842,67391,0.816,0.94,0.852,40528245,17106948,3430851000
1990,12,20954420,1742194,73730,0.809,0.9359999999999999,0.847,49493569,19089684,4104001000
1991,12,21315116,1794444,76879,0.76,0.898,0.8029999999999999,49396226,20171969,4152407000
1992,12,21886865,1969435,76523,0.804,0.92,0.8390000000000001,52259477,20912585,4381710000
1993,12,23522593,2439734,86053,0.846,0.9420000000000001,0.8759999999999999,56125234,22492156,4727424000
1994,12,28214362,2684171,88560,0.865,0.9440000000000001,0.89,76876787,26850486,5430651000
1995,12,29002122,2924879,90046,0.856,0.935,0.88,82135745,28027239,5717567000
1996,12,29636361,3305507,99072,0.887,0.9440000000000001,0.904,91565876,30459965,5783735000
1997,12,30464635,3519424,105347,0.841,0.9159999999999999,0.8640000000000001,98186440,30315094,6152415000
1998,12,30605128,3301705,109365,0.83,0.9209999999999999,0.858,100468931,30227287,6346958000
1999,12,33809134,3772726,120294,0.856,0.935,0.88,118299856,33715129,7210700000
2000,12,35849691,3853363,124270,0.866,0.945,0.8909999999999999,130550852,36865866,7671252000
2001,12,35017317,5014240,126610,0.816,0.917,0.847,129053244,35179960,7636547000
2002,12,35071504,5105450,126787,0.809,0.912,0.84,127102165,35009011,7630562000
2003,12,35540126,5657796,130482,0.816,0.9279999999999999,0.85,138941106,36265932,7830856000
2004,12,37388781,5724864,131503,0.858,0.95,0.8859999999999999,164821755,41441531,8711426000
2005,12,38566717,6166194,133186,0.866,0.95,0.892,193136789,44267370,9717322000
2006,12,38914889,6307961,132605,0.8740000000000001,0.946,0.897,207289931,46304376,10630387000
2007,12,39196761,6209253,132947,0.887,0.943,0.904,219713911,47729527,10868464000
2008,12,37481552,5899725,140529,0.843,0.898,0.86,207117817,44074642,9796749000
2009,12,36351469,4492275,148941,0.782,0.888,0.815,153150310,40469012,8838261000
2010,12,37335436,4473134,148935,0.768,0.884,0.804,163809985,39757359,8908574000
2011,12,38928708,4865272,150161,0.807,0.909,0.838,194329584,41481204,9222677000
2012,12,39727022,4944014,150481,0.816,0.9079999999999999,0.8440000000000001,200384250,41667596,9399845000
2013,12,39668221,5107416,150593,0.8140000000000001,0.9109999999999999,0.843,210138974,41857059,9674404000
2014,12,41126512,5194580,150544,0.8390000000000001,0.9329999999999999,0.868,232443537,42885350,9553864000
2015,12,42312216,5891151,149213,0.852,0.937,0.877,254438208,45389074,9617671000
2016,12,42936100,6310600,149339,0.865,0.95,0.8909999999999999,273079478,47435027,9713930000
2017,12,42214200,6646200,148896,0.862,0.943,0.887,282497037,48500244,9978503000
2018,12,42116800,6501800,149158,0.855,0.945,0.882,282596040,49716584,10249964000
2019,12,42523700,6649100,149422,0.863,0.9490000000000001,0.889,296668894,51528524,10355675000
2020,12,19031100,1727200,143117,0.374,0.528,0.42100000000000004,117480364,22201479,6540892000
2021,12,30298266.666666664,0,200690.6666666667,0.565,0.7879999999999999,0.633,0,36892094.666666664,10982550666.666668
