indicator_name,age_demographic,sex_demographic,location,country,year,literacy_rate,lit_flag_codes,lit_flags,pop_flag_codes,pop_flags,population,youth_goal_met,illiteracy_rate,illiterate_population
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2000,0.7217386,,,,,,,0.2782614,
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2001,0.7264066,,,,,,,0.2735934,
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2002,0.7307147,,,,,,,0.26928529999999995,
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2003,0.7347741999999999,,,,,,,0.26522580000000007,
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2004,0.7391364,,,,,,,0.2608636,
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2005,0.7437332999999999,,,,,,,0.25626670000000007,
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2006,0.7478681,,,,,,,0.25213189999999996,
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2007,0.7522684,,,,,,,0.24773160000000005,
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2008,0.7569916999999999,,,,,,,0.24300830000000007,
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2009,0.7642848999999999,,,,,,,0.23571510000000007,
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2010,0.7744321,,,,,,,0.22556790000000004,
Youth literacy rate,15-24 years,Female,40656,Oceania (excl. Australia/New Zealand),2011,0.773668,‡,UIS Estimation,,,,FALSE,0.22633199999999998,
Adult literacy rate,15+ years,Female,GTM,Guatemala,2002,0.6334138,,,,,6937000,,0.3665862,2543008.4694
Adult literacy rate,15+ years,Female,GTM,Guatemala,2012,0.7242803999999999,,,,,9459000,,0.27571960000000006,2608031.6964000007
Adult literacy rate,15+ years,Female,GTM,Guatemala,2013,0.7212759,,,,,9752000,,0.27872410000000003,2718117.4232
Adult literacy rate,15+ years,Female,GTM,Guatemala,2014,0.7637066,,,,,10052000,,0.2362934,2375221.2568
Adult literacy rate,15+ years,Female,GTM,Guatemala,2018,0.7672338000000001,,,,,11308000,,0.23276619999999992,2632120.189599999
Adult literacy rate,15+ years,Female,VNM,Viet Nam,2000,0.8661011000000001,,,,,54680000,,0.13389889999999993,7321591.851999996
Adult literacy rate,15+ years,Female,VNM,Viet Nam,2009,0.9137909000000001,,,,,66085000,,0.08620909999999993,5697128.373499995
Adult literacy rate,15+ years,Female,VNM,Viet Nam,2019,0.9456566,,,,,74069000,,0.05434340000000004,4025161.294600003
Adult literacy rate,15+ years,Male,PAK,Pakistan,2005,0.6406048,,,,,96226000,,0.3593952,34583162.515200004
Adult literacy rate,15+ years,Male,PAK,Pakistan,2006,0.6765184000000001,,,,,99182000,,0.3234815999999999,32083552.05119999
Adult literacy rate,15+ years,Male,PAK,Pakistan,2007,0.6500494,,,,,102234000,,0.3499506,35776849.6404
Adult literacy rate,15+ years,Male,PAK,Pakistan,2008,0.6886610000000001,,,,,105368000,,0.3113389999999999,32805167.751999993
Adult literacy rate,15+ years,Male,PAK,Pakistan,2009,0.6862761999999999,,,,,108560000,,0.3137238000000001,34057855.728000015
Adult literacy rate,15+ years,Male,PAK,Pakistan,2010,0.6890061,,,,,111791000,,0.31099390000000005,34766319.07490001
Adult literacy rate,15+ years,Male,PAK,Pakistan,2011,0.6699114,,,,,114920000,,0.33008859999999995,37933781.91199999
Adult literacy rate,15+ years,Male,PAK,Pakistan,2012,0.6985822,,,,,118085000,,0.30141779999999996,35592920.912999995
Adult literacy rate,15+ years,Male,PAK,Pakistan,2013,0.6862933999999999,,,,,121283000,,0.31370660000000006,38047277.56780001
Adult literacy rate,15+ years,Male,PAK,Pakistan,2014,0.6906681,,,,,124509000,,0.3093319,38514605.5371
Adult literacy rate,15+ years,Male,PAK,Pakistan,2017,0.71116,,,,,134145000,,0.28884,38746441.8
Adult literacy rate,15+ years,Male,PAK,Pakistan,2018,0.6927658,,,,,137376000,,0.3072342,42206605.4592
Adult literacy rate,15+ years,Male,PAK,Pakistan,2019,0.6928746,,,,,140650000,,0.3071254,43197187.51
Youth literacy rate,15-24 years,Both Sexes,NAM,Namibia,2001,0.9242438,,,,,388000,,0.07575620000000005,29393.40560000002
Youth literacy rate,15-24 years,Both Sexes,NAM,Namibia,2007,0.8709541000000001,‡,UIS Estimation,,,437000,,0.12904589999999994,56393.058299999975
Youth literacy rate,15-24 years,Both Sexes,NAM,Namibia,2011,0.9441944,,,,,468000,,0.05580560000000001,26117.020800000006
Youth literacy rate,15-24 years,Both Sexes,NAM,Namibia,2018,0.9516490000000001,‡,UIS Estimation,,,487000,TRUE,0.04835099999999992,23546.93699999996
Youth literacy rate,15-24 years,Male,SYR,Syrian Arab Republic,2002,0.9714407,,,,,3801000,,0.028559299999999954,108553.89929999983
Youth literacy rate,15-24 years,Male,SYR,Syrian Arab Republic,2004,0.9460731,,,,,3971000,FALSE,0.0539269,214143.7199
Youth literacy rate,15-24 years,Male,EGY,Egypt,2005,0.9007912,,,,,16038000,,0.09920879999999999,1591110.7343999997
Youth literacy rate,15-24 years,Male,EGY,Egypt,2006,0.878568,,,,,16256000,,0.12143199999999998,1973998.5919999997
Youth literacy rate,15-24 years,Male,EGY,Egypt,2010,0.9055763,,,,,16589000,,0.0944237,1566394.7593
Youth literacy rate,15-24 years,Male,EGY,Egypt,2012,0.9235576000000001,,,,,16598000,,0.07644239999999991,1268790.9551999986
Youth literacy rate,15-24 years,Male,EGY,Egypt,2013,0.9364928,,,,,16573000,,0.06350719999999999,1052504.8255999999
Youth literacy rate,15-24 years,Male,EGY,Egypt,2017,0.8948338,,,,,16712000,FALSE,0.10516619999999999,1757537.5343999998
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2000,0.947894,,,,,,,0.052105999999999986,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2001,0.9501618000000001,,,,,,,0.049838199999999944,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2002,0.9525539999999999,,,,,,,0.0474460000000001,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2003,0.9550583,,,,,,,0.04494169999999997,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2004,0.9576085999999999,,,,,,,0.04239140000000008,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2005,0.9597772,,,,,,,0.0402228,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2006,0.9617597000000001,,,,,,,0.038240299999999894,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2007,0.9685458,,,,,,,0.03145419999999999,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2008,0.9702312999999999,,,,,,,0.029768700000000092,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2009,0.9717279999999999,,,,,,,0.028272000000000075,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2010,0.9707077,,,,,,,0.02929230000000005,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2011,0.9724311,,,,,,,0.027568900000000007,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2012,0.9737992,,,,,,,0.026200800000000024,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2013,0.9749536000000001,,,,,,,0.025046399999999913,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2014,0.9772784,,,,,,,0.02272160000000001,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2015,0.9785545999999999,,,,,,,0.02144540000000006,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2016,0.9794667,,,,,,,0.020533299999999977,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2017,0.9804183000000001,,,,,,,0.019581699999999924,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2018,0.9812872,,,,,,,0.018712799999999974,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2019,0.9821437000000001,,,,,,,0.017856299999999936,
Adult literacy rate,15+ years,Male,40611,Asia (Eastern),2020,0.9829864,,,,,,,0.017013599999999962,
Youth literacy rate,15-24 years,Both Sexes,TTO,Trinidad and Tobago,2000,0.9940000000000001,‡,UIS Estimation,,,256000,,0.005999999999999894,1535.999999999973
Youth literacy rate,15-24 years,Both Sexes,TTO,Trinidad and Tobago,2010,0.996,‡,UIS Estimation,,,220000,TRUE,0.0040000000000000036,880.0000000000008
Youth literacy rate,15-24 years,Female,ARG,Argentina,2001,0.9912766999999999,,,,,6525000,,0.0087233000000001,56919.532500000656
Youth literacy rate,15-24 years,Female,ARG,Argentina,2006,0.9950357,‡,UIS Estimation,,,6632000,,0.004964300000000033,32923.23760000022
Youth literacy rate,15-24 years,Female,ARG,Argentina,2009,0.9969673,‡,UIS Estimation,,,6835000,,0.0030326999999999993,20728.504499999995
Youth literacy rate,15-24 years,Female,ARG,Argentina,2010,0.9958866999999999,‡,UIS Estimation,,,6890000,,0.0041133000000000974,28340.637000000672
Youth literacy rate,15-24 years,Female,ARG,Argentina,2011,0.9971145,‡,UIS Estimation,,,6940000,,0.0028854999999999853,20025.369999999897
Youth literacy rate,15-24 years,Female,ARG,Argentina,2012,0.9961427999999999,‡,UIS Estimation,,,6975000,,0.003857200000000116,26903.97000000081
Youth literacy rate,15-24 years,Female,ARG,Argentina,2013,0.9959811999999999,‡,UIS Estimation,,,6998000,,0.0040188000000001,28123.5624000007
