"SDG_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2000","2000",72.17386,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2001","2001",72.64066,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2002","2002",73.07147,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2003","2003",73.47742,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2004","2004",73.91364,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2005","2005",74.37333,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2006","2006",74.78681,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2007","2007",75.22684,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2008","2008",75.69917,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2009","2009",76.42849,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2010","2010",77.44321,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","40656","Oceania (excl. Australia/New Zealand)","2011","2011",77.3668,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","GTM","Guatemala","2002","2002",63.34138,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","GTM","Guatemala","2012","2012",72.42804,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","GTM","Guatemala","2013","2013",72.12759,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","GTM","Guatemala","2014","2014",76.37066,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","GTM","Guatemala","2018","2018",76.72338,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","VNM","Viet Nam","2000","2000",86.61011,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","VNM","Viet Nam","2009","2009",91.37909,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","VNM","Viet Nam","2019","2019",94.56566,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2005","2005",64.06048,,
